Account,Link,Tenemos datos?,Fecha ultima actualización data ,similar a ,Followers,1ra Categoría,2da Categoría,3ra Categoría,ER,% Male,% Female,M 13-17,M 18-24,M 25-34,M 35-44,M 45-54,M 55-64,"M ""+65""",F 13-17,F 18-24,F 25-34,F 35-44,F 45-54,F 55-64,"F ""+65""",Argentina,Other,CPM historico,Tiene Fee Plataforma?,REPRESENTANTE,Nombre Perfil
ceci.dopazo,https://www.instagram.com/ceci.dopazo,No,8/11/2021,flor_de_p,142000,Actor/Actress,,,0.02,0.35,0.65,0.03,0.22,0.40,0.22,0.09,0.03,0.01,0.03,0.23,0.39,0.22,0.08,0.03,0.01,0.88,0.12,,,,
ceciroth,https://www.instagram.com/ceciroth,No,4/2/2020,petersoncarla,88400,Actor/Actress,,,0.03,0.18,0.82,0.03,0.27,0.45,0.18,0.05,0.01,0.01,0.02,0.25,0.47,0.19,0.05,0.01,0.01,0.55,0.45,,,,
chiara_parravicini,https://www.instagram.com/chiara_parravicini,si,26/4/19,,2602000,Actor/Actress,Music,,0.02,0.15,0.85,,,,,,,1.00,,,,,,,1.00,0.15,0.85,0,,,
chinodarin,https://www.instagram.com/chinodarin,No,28/11/2018,furtadonico,1200000,Actor/Actress,,,0.05,0.11,0.89,0.03,0.25,0.47,0.17,0.06,0.02,0.01,0.02,0.31,0.49,0.14,0.03,0.00,0.01,0.80,0.20,,no,si,si
chrissanchook,https://www.instagram.com/chrissanchook,No,30/06/2020,marianom78,140000,Actor/Actress,Model,,0.04,0.13,0.87,0.10,0.40,0.30,0.12,0.06,0.01,0.01,0.12,0.47,0.27,0.09,0.03,0.01,0.01,0.78,0.22,,,,
clarialonso,https://www.instagram.com/clarialonso,Si,8/7/2020,,1700000,Actor/Actress,,,0.01,0.18,0.82,0.12,0.45,0.23,0.10,#N/A,#N/A,#N/A,0.13,0.47,0.22,0.09,0.04,0.01,0.01,0.14,0.86,,,,
cumesanz,https://www.instagram.com/cumesanz,No,28/11/2018,delficapo,52400,Actor/Actress,,,0.05,0.09,0.91,0.03,0.48,0.40,0.06,0.02,0.01,0.00,0.03,0.48,0.40,0.06,0.02,0.01,0.00,0.91,,,,,
delfichaves,https://www.instagram.com/delfichaves,No,1/18/2019,chavespauok,1298000,Actor/Actress,Model,,0.09,0.19,0.81,0.05,0.32,0.37,0.17,0.06,0.02,0.01,0.05,0.32,0.39,0.16,0.05,0.02,0.01,0.83,0.17,0,no,si,si
diecramos,https://www.instagram.com/diecramos,No,12/28/2018,marley_ok,582000,Actor/Actress,,,0.06,0.21,0.79,0.04,0.27,0.36,0.20,0.08,0.03,0.02,0.04,0.27,0.36,0.20,0.08,0.03,0.02,0.90,0.10,,si,no,no
diecramos,https://www.instagram.com/diecramos,Si,9/6/2020,,631000,Actor/Actress,,,0.03,0.12,0.88,0.02,0.16,0.39,0.28,0.10,0.02,0.01,0.02,0.11,0.40,0.32,0.11,0.03,0.01,0.89,0.11,,,,
diegomceaoficial,https://www.instagram.com/diegomceaoficial,No,7/21/2019,guilera_juan,1500000,Actor/Actress,,,0.04,0.11,0.89,0.03,0.25,0.47,0.17,0.06,0.02,0.01,0.02,0.31,0.49,0.14,0.03,0.00,0.01,0.80,0.20,,,,
diegotopaok,https://www.instagram.com/diegotopaok,No,11/8/2019,marley_ok,383000,Actor/Actress,,,0.01,0.21,0.79,0.04,0.27,0.36,0.20,0.08,0.03,0.02,0.04,0.27,0.36,0.20,0.08,0.03,0.02,0.90,0.10,,,,
domenechcaro,https://www.instagram.com/domenechcaro,Si,6/25/2018,,576285,Actor/Actress,music,model,0.02,0.18,0.82,0.07,0.43,0.29,0.12,0.06,0.02,0.01,0.13,0.50,0.22,0.09,0.04,0.01,0.01,0.70,0.30,0,,,
duplaa_nancyok,https://www.instagram.com/duplaa_nancyok,No,10/2/2020,griseldasiciliani,667000,Actor/Actress,,,0.02,0.14,0.86,0.09,0.38,0.24,0.14,0.10,0.03,0.02,0.17,0.47,0.20,0.10,0.04,0.01,0.01,0.17,0.83,,,,
eleowexler,https://www.instagram.com/eleowexler,No,10/2/2020,brendagandiniok,565000,Actor/Actress,,,0.02,0.14,0.87,0.01,0.11,0.42,0.31,0.11,0.03,0.01,0.01,0.12,0.49,0.27,0.08,0.02,0.01,0.89,0.11,,,,
