Account,Link,Tenemos datos?,Fecha ultima actualización data ,similar a ,Followers,1ra Categoría,2da Categoría,3ra Categoría,ER,% Male,% Female,M 13-17,M 18-24,M 25-34,M 35-44,M 45-54,M 55-64,"M ""+65""",F 13-17,F 18-24,F 25-34,F 35-44,F 45-54,F 55-64,"F ""+65""",Argentina,Other,CPM historico,Tiene Fee Plataforma?,REPRESENTANTE,Nombre Perfil
marcos_dicesare,https://www.instagram.com/marcos_dicesare,No,23/07/2020,gabi.cocina,99800,Foodie,,,0.06,0.50,0.50,0.03,0.44,0.37,0.10,0.04,#N/A,#N/A,0.03,0.44,0.37,0.10,0.04,0.01,0.01,0.90,0.10,0,,,
marcos_dicesare YT,https://www.youtube.com/channel/UCTq_239kdtmmT_yX-n6Y__w,No,23/07/2020,marcos_dicesare,306000,Foodie,,,0.01,0.50,0.50,0.03,0.44,0.37,0.10,0.04,#N/A,#N/A,0.03,0.44,0.37,0.10,0.04,0.01,0.01,0.90,0.10,,,,
margascakes,https://www.instagram.com/margascakes,Parcial,3/17/2022,rango todos,100000,Foodie,,,0.01,0.06,0.94,0.01,0.12,0.36,0.28,0.15,0.06,0.02,0.01,0.12,0.36,0.28,0.15,0.06,0.02,0.71,0.29,,,,
marianlaquecocina,https://www.instagram.com/marianlaquecocina,No,21/7/2020,carogloodo UY,69300,Foodie,,,0.02,0.14,0.86,0.02,0.18,0.38,0.24,0.12,0.05,0.01,0.01,0.32,0.47,0.12,0.05,0.02,0.01,0.51,0.49,,,,
marubotanaok,https://www.instagram.com/marubotanaok,No,2/11/2018,valuramallo,737131,Foodie,Moms,,0.01,0.10,0.90,0.01,0.34,0.41,0.15,0.07,0.01,0.01,0.01,0.38,0.35,0.15,0.10,0.01,0.00,0.87,0.13,0,,,
matias_alejandroal CH,https://www.instagram.com/matias_alejandroal CH,No,28/11/2018,cabrococina CH,24200,Foodie,,,0.05,0.17,0.83,0.03,0.23,0.42,0.19,0.09,0.03,0.01,0.03,0.28,0.37,0.17,0.09,0.04,0.02,0.69,0.31,,,,
matiaspanizza,https://www.instagram.com/matiaspanizza,No,12/28/2018,chrispetersenok,66600,Foodie,,,0.04,0.36,0.64,0.01,0.17,0.46,0.25,0.08,0.02,0.01,0.01,0.20,0.45,0.22,0.08,0.03,0.01,0.77,0.23,,,,
matiasriccitelli,https://www.instagram.com/matiasriccitelli,No,7/5/2020,luciabulacio,20300,Foodie,,,0.05,0.36,0.64,0.01,0.17,0.46,0.25,0.08,0.02,0.01,0.01,0.20,0.45,0.22,0.08,0.03,0.01,0.77,0.23,,,,
matsanmillan,https://www.instagram.com/matsanmillan,Parcial,10/29/2018,elgordococina,67006,foodie,,,0.02,0.41,0.59,0.05,0.32,0.35,0.18,0.06,0.02,0.02,0.03,0.25,0.40,0.20,0.08,0.03,0.01,0.78,0.22,0,,,
mauricioasta,https://www.instagram.com/mauricioasta,No,1/16/2019,santigiorgini,683000,Foodie,,,0.03,0.17,0.83,0.01,0.13,0.38,0.31,0.12,0.04,0.01,0.00,0.15,0.39,0.27,0.12,0.05,0.02,0.91,0.09,0,,,
maurocolagreco,https://www.instagram.com/maurocolagreco,No,1/16/2019,locosxelasado,77011,Foodie,,,0.02,0.25,0.75,0.01,0.17,0.46,0.25,0.08,0.02,0.01,0.01,0.20,0.45,0.22,0.08,0.03,0.01,0.65,0.35,0,,,
mchef_gabo PAN,https://www.instagram.com/mchef_gabo PAN,No,28/11/2018,jattinjavier COL,14200,Foodie,,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
mecha.solis,https://www.instagram.com/mecha.solis,No,29/10/19,monagallosi,33700,Foodie,,,0.05,0.56,0.44,0.03,0.46,0.40,0.08,0.02,0.00,0.01,0.03,0.46,0.36,0.09,0.04,0.01,0.01,0.80,0.20,,,,
mica.brogna,https://www.instagram.com/mica.brogna,No,6/7/2022,kulinaria.recetas,106000,Foodie,,,0.02,0.17,0.83,0.03,0.23,0.42,0.19,0.09,0.03,0.01,0.03,0.28,0.37,0.17,0.09,0.04,0.02,0.69,0.31,,,,
micaeladieguez,https://www.instagram.com/micaeladieguez,No,28/11/2018,valuramallo,126000,Foodie,,,0.03,0.10,0.90,0.01,0.34,0.41,0.15,0.07,0.01,0.01,0.01,0.38,0.35,0.15,0.10,0.01,0.00,0.87,0.13,,,,
midiariovegan,https://www.instagram.com/midiariovegan,No,8/8/2022,veganfitfluencer,125816,Foodie,Healthy,,0.02,0.09,0.91,0.03,0.25,0.43,0.19,0.07,0.02,0.01,0.02,0.29,0.42,0.18,0.06,0.02,0.01,0.73,0.27,,,,
milhojascocina,https://www.instagram.com/milhojascocina,Si,15/10/20,,227000,Foodie,Fotografo,,0.00,0.05,0.95,0.02,0.15,0.37,0.26,0.13,"5,3%","2,3%","0,4%",0.14,0.39,0.27,0.13,"4,6%","1,4%",0.84,0.16,,,,
miriambuffa,https://www.instagram.com/miriambuffa,Si,8/19/2022,,206000,Foodie,,,0.02,0.08,0.92,0.01,0.08,0.31,0.31,0.19,0.08,0.02,0.00,0.06,0.30,0.32,0.20,0.09,0.03,0.63,0.37,,,,
mjnoboa EC,https://www.instagram.com/mjnoboa EC,No,28/11/2018,inutilisimas,34200,Foodie,,,0.01,0.34,0.66,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.25,0.75,,,,
monagallosi,https://www.instagram.com/monagallosi,No,7/21/2019,atienzasebastian,50300,Foodie,,,0.01,0.56,0.44,0.03,0.46,0.40,0.08,0.02,0.00,0.01,0.03,0.46,0.36,0.09,0.04,0.01,0.01,0.80,0.20,,,,
monpetitglouton,https://www.instagram.com/monpetitglouton,Si,7/12/2021,,600000,Foodie,,,0.00,0.07,0.93,0.01,0.10,0.37,0.34,0.12,0.04,0.02,0.01,0.07,0.43,0.35,0.10,0.04,0.01,0.84,0.16,0,,,
monpetitglouton TK,https://www.instagram.com/monpetitglouton TK,No,7/12/2021,monpetitglouton,145100,Foodie,,,0.19,0.07,0.93,0.01,0.10,0.37,0.34,0.12,0.04,0.02,0.01,0.07,0.43,0.35,0.10,0.04,0.01,0.81,0.19,,,,
nancycabreraryr COL,https://www.instagram.com/nancycabreraryr COL,No,28/11/2018,mjnoboa EC,65800,Foodie,,,0.00,0.34,0.66,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.25,0.75,,,,
nataliapenchas,https://www.instagram.com/nataliapenchas,Parcial,8/22/2022,rango etario todos,1000000,Foodie,,,0.01,0.09,0.91,0.01,0.08,0.23,0.25,0.22,0.14,0.07,0.01,0.08,0.23,0.25,0.22,0.14,0.07,0.63,0.37,,,,
natiblatt,https://www.instagram.com/natiblatt,No,3/27/2021,danilachepi,178000,Foodie,,,0.02,0.13,0.87,0.02,0.25,0.43,0.21,0.06,0.02,0.01,0.02,0.25,0.43,0.21,0.06,0.02,0.01,0.87,0.13,,,,
natikiako,https://www.instagram.com/natikiako,No,20/08/2020,dra.leisamolinari,116136,Foodie,,,0.02,0.06,0.94,0.00,0.16,0.40,0.27,0.08,0.03,0.06,0.00,0.18,0.45,0.23,0.07,0.02,0.05,0.90,0.10,,,,
naturalmente.rico,https://www.instagram.com/naturalmente.rico,No,28/11/2018,integralnutricion,19900,Foodie,Healthy,,0.02,0.10,0.90,0.01,0.22,0.45,0.20,0.08,0.03,0.01,0.01,0.25,0.43,0.19,0.08,0.03,0.01,0.83,0.17,,,,
nicolasmercante,https://www.instagram.com/nicolasmercante,No,28/07/20,marcos_dicesare,55200,foodie,,,0.05,0.50,0.50,0.01,0.14,0.60,0.19,0.03,0.02,0.01,0.01,0.24,0.57,0.12,0.04,0.01,0.01,0.90,0.10,0,,,
Nigellop,https://www.instagram.com/nigellop/,Si,2/4/2022,,159000,Foodie,,,0.03,0.46,0.54,0.03,0.31,0.41,0.15,0.06,0.02,0.01,0.04,0.30,0.34,0.17,0.11,0.04,0.01,0.80,0.20,,,,
nigellop TK,https://www.tiktok.com/@nigellop,Si,1/13/2022,,796100,Foodie,,,0.04,0.45,0.55,,,,,,,,,,,,,,,0.51,0.49,,,,
nilsonviazzo UY,https://www.instagram.com/nilsonviazzo UY,No,12/21/2018,hugosoca UY,39700,Foodie,,,0.01,0.20,0.80,0.03,0.30,0.42,0.17,0.05,0.01,0.02,0.06,0.48,0.32,0.09,0.04,0.01,0.01,0.70,0.30,,,,
nsalvarrey,https://www.instagram.com/nsalvarrey,Parcial,9/11/2022,rango etario todos,133384,Foodie,,,0.02,0.53,0.47,0.00,0.04,0.39,0.41,0.13,0.02,0.01,0.00,0.04,0.39,0.41,0.13,0.02,0.01,0.94,0.06,,,,
nsalvarrey tw,https://www.instagram.com/nsalvarrey tw,No,5/20/2022,nsalvarrey,104000,Foodie,,,0.01,0.53,0.47,0.00,0.04,0.39,0.41,0.13,0.02,0.01,0.00,0.04,0.39,0.41,0.13,0.02,0.01,0.94,0.06,,,,
nutriarte.argentina,https://www.instagram.com/nutriarte.argentina,Si,6/14/2019,,181000,Foodie,,,0.01,#N/A,#N/A,0.01,0.19,0.43,0.23,0.09,0.03,0.02,0.01,0.19,0.43,0.24,0.09,0.03,0.01,0.79,0.21,,,,
nutricion.amc,https://www.instagram.com/nutricion.amc,No,28/11/2018,thehealthyblogger,44900,Foodie,Healthy,,0.04,0.09,0.91,0.01,0.22,0.45,0.20,0.08,0.03,0.01,0.01,0.25,0.43,0.19,0.08,0.03,0.01,0.83,0.17,,,,
nutricion.guiada,https://www.instagram.com/nutricion.guiada,No,28/11/2018,integralnutricion,41500,Foodie,Healthy,,0.03,0.10,0.90,0.01,0.22,0.45,0.20,0.08,0.03,0.01,0.01,0.25,0.43,0.19,0.08,0.03,0.01,0.83,0.17,,,,
nutricion.salud.arg,https://www.instagram.com/nutricion.salud.arg,No,12/21/2018,inutilisimas,940602,Foodie,Fitness,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,
nutricionblog,https://www.instagram.com/nutricionblog,Si,3/16/2021,,107000,Foodie,Healthy,,0.01,0.07,0.93,0.00,0.10,0.42,0.30,0.12,0.04,0.02,0.00,0.11,0.45,0.29,0.11,0.03,0.01,0.60,0.40,,,,
nutriliano,https://www.instagram.com/nutriliano,Si,10/1/2020,,212000,Foodie,,,0.02,0.08,0.92,0.01,0.19,0.41,0.23,0.11,0.03,0.02,0.01,0.22,0.41,0.23,0.09,0.03,0.01,0.74,0.26,,,,
nutriverso_,https://www.instagram.com/nutriverso_,No,20/04/20,thehealthyblogger,21000,Foodie,,,0.02,0.09,0.91,0.01,0.22,0.45,0.20,0.08,0.03,0.01,0.01,0.25,0.43,0.19,0.08,0.03,0.01,0.83,0.17,,,,
ohmargott,https://www.instagram.com/ohmargott,No,2/11/2020,milhojascocina,41200,Foodie,,,"1,46%",0.05,0.95,0.02,0.15,0.37,0.26,0.13,"5,3%",0.07,"0,4%",0.14,0.39,0.27,0.13,"4,6%",0.07,0.84,0.16,,,,
olihanocq ,https://www.instagram.com/olihanocq/?hl=es,No,11/1/2021,julianalopezmay,15300,Foodie,,,0.04,0.18,0.82,0.00,0.06,0.29,0.37,0.18,0.07,0.03,0.00,0.06,0.29,0.37,0.18,0.07,0.03,0.81,0.19,,,,
omega.nutricion,https://www.instagram.com/omega.nutricion,Si,3/16/2021,,173000,Foodie,Healthy,,0.03,0.07,0.93,0.01,0.14,0.40,0.26,0.12,0.05,0.02,0.01,0.15,0.40,0.26,0.12,0.04,0.02,0.75,0.25,,,,
oscarmezar,https://www.instagram.com/oscarmezar,No,28/07/20,gabi.cocina,854000,Foodie,,,0.07,0.50,0.50,0.03,0.44,0.37,0.10,0.04,#N/A,#N/A,0.03,0.44,0.37,0.10,0.04,0.01,0.01,0.90,0.10,,,,
osvaldo_gross,https://www.instagram.com/osvaldo_gross,No,11/21/2018,elgordococina,541893,Foodie,,,0.01,0.25,0.75,0.01,0.17,0.46,0.25,0.08,0.02,0.01,0.01,0.20,0.45,0.22,0.08,0.03,0.01,0.78,0.22,0,,,
pablomassey,https://www.instagram.com/pablomassey,No,9/6/2019,francismallmann,147000,Foodie,,,0.01,0.25,0.75,0.01,0.17,0.46,0.25,0.08,0.02,0.01,0.01,0.20,0.45,0.22,0.08,0.03,0.01,0.78,0.22,,,,
pabloremaggi,https://www.instagram.com/pabloremaggi,No,5/8/2022,aletemporini,197000,Foodie,,,0.01,0.10,0.90,0.00,0.10,0.37,0.31,0.16,0.04,0.02,0.00,0.09,0.32,0.32,0.18,0.07,0.02,0.90,0.10,,,,
pam.pellegrini,https://www.instagram.com/pam.pellegrini,Si,16/10/20,,320000,Foodie,,,0.01,0.07,0.93,0.01,0.14,0.40,0.25,0.11,0.04,0.05,0.00,0.12,0.40,0.28,0.12,0.04,0.04,0.62,0.38,,si,no,no
pamemvillar,https://www.instagram.com/pamemvillar,No,9/19/2022,valuramallo,234539,Foodie,,,0.02,0.10,0.90,0.01,0.34,0.41,0.15,0.07,0.01,0.01,0.01,0.38,0.35,0.15,0.10,0.01,0.00,0.87,0.13,0,,,
panzallena.ba,https://www.instagram.com/panzallena.ba,No,2/23/2021,club.leno,34921,Foodie,,,0.02,0.66,0.34,0.00,0.18,0.52,0.22,0.06,0.01,0.01,0.00,0.18,0.52,0.22,0.06,0.01,0.01,0.90,0.10,,,,
papacocina,https://www.instagram.com/papacocina,Si,6/18/2019,,96700,Foodie,Moms,,0.02,0.12,0.88,0.00,0.10,0.41,0.36,0.09,0.03,0.01,0.00,0.11,0.48,0.31,0.07,0.02,0.01,0.87,0.13,0,,,
patosingluten,https://www.instagram.com/patosingluten,Si,9/19/2022,,105000,Foodie,,,0.02,0.23,0.77,0.00,0.11,0.33,0.30,0.17,0.06,0.03,0.00,0.09,0.32,0.33,0.18,0.06,0.02,0.58,0.42,,,,
patosingluten,https://www.instagram.com/patosingluten,No,14/1/20,goclean.now,34400,Foodie,,,0.03,0.06,0.94,0.01,0.18,0.42,0.24,0.10,0.03,0.02,0.00,0.16,0.42,0.27,0.10,0.04,0.01,0.57,0.43,,,,
paulampics,https://www.instagram.com/paulampics,No,1/10/2019,cocina.mona,151000,Foodie,,,0.01,0.10,0.90,0.01,0.14,0.38,0.31,0.11,0.03,0.02,0.01,0.13,0.41,0.31,0.10,0.03,0.01,0.78,0.22,0,,,
paulinacocina,https://www.instagram.com/paulinacocina,Si,27/12/19,,2495000,Foodie,,,0.01,0.42,0.58,0.02,0.21,0.43,0.21,0.08,0.03,0.02,0.01,0.19,0.40,0.24,0.10,0.04,0.02,0.83,0.17,0,si,si,si
paulinacocina tk,https://www.tiktok.com/@paulinacocina?lang=es&is_copy_url=1&is_from_webapp=v1,Parcial,3/17/2021,paulinacocina,843500,Foodie,,,,0.42,0.58,,,,,,,,,,,,,,,0.81,0.19,,,,
paulinacocina YT,https://www.instagram.com/paulinacocina YT,No,5/22/2019,paulinacocina,2590000,Foodie,,,0.01,0.42,0.58,0.02,0.21,0.43,0.21,0.08,0.03,0.02,0.01,0.19,0.40,0.24,0.10,0.04,0.02,0.83,0.17,,,,
paulinacocina.net FB,https://www.facebook.com/paulinacocina.net FB,No,5/22/2019,paulinacocina,1236085,Foodie,,,0.01,0.42,0.58,0.02,0.21,0.43,0.21,0.08,0.03,0.02,0.01,0.19,0.40,0.24,0.10,0.04,0.02,0.83,0.17,,,,
pauuloreti tw,https://www.instagram.com/pauuloreti tw,No,5/20/2022,chantalabad,16500,Foodie,,,0.01,0.14,0.86,0.02,0.20,0.42,0.25,0.08,0.02,0.01,0.01,0.25,0.43,0.21,0.07,0.02,0.01,0.94,0.06,,,,
pilarwoloszyn EC,https://www.instagram.com/pilarwoloszyn EC,No,28/11/2018,mjnoboa EC,27900,Foodie,,,0.04,0.34,0.66,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.25,0.75,,,,
piquimendez,https://www.instagram.com/piquimendez,Si,31/03/20,,27500,Foodie,Healthy,,0.01,0.13,0.87,0.00,0.09,0.39,0.34,0.12,0.04,0.02,0.00,0.10,0.39,0.33,0.13,0.04,0.01,0.82,0.18,0,,,
placeresinculpa CH,https://www.instagram.com/placeresinculpa CH,No,28/11/2018,larutasaludable.cl CH,19100,Foodie,,,0.02,0.12,0.88,0.03,0.23,0.42,0.19,0.09,0.03,0.01,0.03,0.28,0.37,0.17,0.09,0.04,0.02,0.79,0.21,,,,
plantbasedagus,https://www.instagram.com/plantbasedagus,No,8/8/2022,veganfitfluencer,28036,Foodie,Healthy,,0.03,0.09,0.91,0.03,0.25,0.43,0.19,0.07,0.02,0.01,0.02,0.29,0.42,0.18,0.06,0.02,0.01,0.73,0.27,,,,
poneleamor,https://www.instagram.com/poneleamor,Si,15/10/2020,felipizarro,108000,Foodie,Chef,,0.04,0.11,0.89,"2,9%",0.21,0.37,0.22,0.11,"2,9%",0.09,"2,6%",0.21,0.36,0.21,0.11,"5,9%","2,3%",0.88,0.12,,,,
quieroburger,https://www.instagram.com/quieroburger,Si,23/07/2020,,43500,Foodie,,,0.03,0.68,0.32,0.01,0.23,0.52,0.17,0.05,0.01,0.01,0.01,0.29,0.46,0.15,0.06,0.02,0.01,0.91,0.09,,,,
recetasamigas,https://www.instagram.com/recetasamigas,No,6/11/2019,come.consciente,33200,Foodie,,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
recetasemilylucius,https://www.instagram.com/recetasemilylucius,si,27-10-19,veganfitfluencer,829000,Foodie,,,0.01,0.14,0.86,0.03,0.35,0.43,0.13,0.04,0.01,0.01,0.03,0.44,0.41,0.08,0.03,0.01,0.00,0.88,0.12,,,,
recetasnh,https://www.instagram.com/recetasnh,No,21/01/2020,thehealthyblogger,107000,Foodie,,,0.02,0.09,0.91,0.01,0.22,0.45,0.20,0.08,0.03,0.01,0.01,0.25,0.43,0.19,0.08,0.03,0.01,0.83,0.17,,,,
ricoysanococina,https://www.instagram.com/ricoysanococina/,Si,1/13/2022,,167000,Foodie,,,0.02,0.08,0.92,0.01,0.12,0.41,0.27,0.13,0.05,0.01,0.01,0.16,0.38,0.25,0.14,0.05,0.01,0.83,0.17,,,,
rodocamara,https://www.instagram.com/rodocamara,No,23/07/2020,santigiorgini,35000,Foodie,,,0.05,0.17,0.83,0.01,0.13,0.38,0.31,0.12,0.04,0.01,0.00,0.15,0.39,0.27,0.12,0.05,0.02,0.91,0.09,,,,
Rodocamara YT,https://www.youtube.com/channel/UCBSh2wtlzOOScLBWVZB7Pbw/videos,No,23/07/2020,rodocamara,33500,Foodie,,,0.01,0.17,0.83,0.01,0.13,0.38,0.31,0.12,0.04,0.01,0.00,0.15,0.39,0.27,0.12,0.05,0.02,0.91,0.09,,,,
romiconnell,https://www.instagram.com/romiconnell,Si,27/03/2020,,120000,Foodie,LifeStyle,,0.01,0.04,0.96,0.01,0.12,0.41,0.32,0.09,0.03,0.02,0.00,0.10,0.44,0.33,0.09,0.03,0.01,0.85,0.15,,,,
roxanadelriog,,No,10/2/2020,inutilisimas,38800,Foodie,,,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.86,0.14,,,,
sabores.conurbanos ,https://www.instagram.com/sabores.conurbanos ,Si,1/13/2022,,102000,Foodie,,,0.02,0.15,0.85,0.03,0.26,0.43,0.17,0.07,0.02,0.02,0.03,0.34,0.39,0.14,0.07,0.03,0.00,0.58,0.42,,,,
sabrina.recetas,https://www.instagram.com/sabrina.recetas,Parcial,8/22/2022,,376000,Foodie,,,0.00,0.08,0.92,0.02,0.12,0.31,0.28,0.17,0.08,0.02,0.02,0.12,0.31,0.28,0.17,0.08,0.02,0.69,0.31,,,,
saludablemente.veggie ,https://www.instagram.com/saludablemente.veggie/,No,5/4/2021,chantalabad,17642,Foodie,,,0.02,0.14,0.86,0.02,0.20,0.42,0.25,0.08,0.02,0.01,0.01,0.25,0.43,0.21,0.07,0.02,0.01,0.94,0.06,,,,
salvalacocina,https://www.instagram.com/salvalacocina,Parcial,5/19/2022,rango todos,1200000,Foodie,,,0.03,0.77,0.23,0.01,0.14,0.37,0.27,0.14,0.05,0.02,0.01,0.14,0.37,0.27,0.14,0.05,0.02,0.65,0.35,0,,,
salvalacocina TK,https://www.instagram.com/salvalacocina TK,No,5/19/2022,salvalacocina,525600,Foodie,,,0.02,0.77,0.23,0.01,0.14,0.37,0.27,0.14,0.05,0.02,0.01,0.14,0.37,0.27,0.14,0.05,0.02,0.65,0.35,,,,
sandals burger YT,https://www.youtube.com/channel/UCh_F7I5dWK6Xm2mHPbUm2zg,No,23/07/2020,sandals_burger,24400,Foodie,,,0.01,0.79,0.21,0.01,0.29,0.49,0.15,0.04,0.01,0.01,0.01,0.27,0.48,0.16,0.05,0.02,0.01,0.89,,,,,
sandals_burger,https://www.instagram.com/sandals_burger,Si,3/12/2019,ramitagram,29700,Foodie,,,0.03,0.79,0.21,0.01,0.29,0.49,0.15,0.04,0.01,0.01,0.01,0.27,0.48,0.16,0.05,0.02,0.01,0.89,0.11,,,,
santi.repetto,https://www.instagram.com/santi.repetto,si,10/25/2018,,89000,foodie,instagrammer,fotografo,0.02,0.14,0.86,0.01,0.19,0.53,0.20,0.05,0.01,0.01,0.01,0.21,0.48,0.21,0.06,0.02,0.01,0.79,0.21,0,,,
santigiorgini,https://www.instagram.com/santigiorgini,Si,11/9/2019,,801000,Foodie,,,0.01,0.17,0.83,0.01,0.13,0.38,0.31,0.12,0.04,0.01,0.00,0.15,0.39,0.27,0.12,0.05,0.02,0.91,0.09,0,,,
sebaslarocca CR,https://www.instagram.com/sebaslarocca CR,No,28/11/2018,jattinjavier COL,21900,Foodie,,,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
ser_celiaca,https://www.instagram.com/ser_celiaca,No,28/11/2018,chantalabad,20400,Foodie,,,0.01,0.14,0.86,0.02,0.20,0.42,0.25,0.08,0.02,0.01,0.01,0.25,0.43,0.21,0.07,0.02,0.01,0.94,0.06,,,,
shaperburger UY,https://www.instagram.com/shaperburger UY,No,12/21/2018,lucasfuenteuy,23300,Foodie,,,0.02,0.20,0.80,0.03,0.30,0.42,0.17,0.05,0.01,0.02,0.06,0.48,0.32,0.09,0.04,0.01,0.01,0.70,,,,,
silrumi,https://www.instagram.com/silrumi,No,28/11/2018,patosingluten,28300,Foodie,,,0.04,0.23,0.77,0.00,0.11,0.33,0.30,0.17,0.06,0.03,0.00,0.09,0.32,0.33,0.18,0.06,0.02,0.58,0.42,,,,
silvana_cocinando,https://www.instagram.com/silvana_cocinando,No,21/01/2020,inutilisimas,98300,Foodie,,,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
singele.cocina,https://www.instagram.com/singele.cocina,Parcial,9/11/2022,rango todos,402000,Foodie,,,0.02,0.11,0.89,0.02,0.14,0.31,0.25,0.17,0.08,0.04,0.02,0.14,0.31,0.25,0.17,0.08,0.04,0.60,0.40,,,,
sintacchayparaiso,https://www.instagram.com/sintacchayparaiso,No,4/6/2022,caroglutenfree,53600,Foodie,,,0.02,0.11,0.89,0.01,0.14,0.37,0.28,0.13,0.05,0.02,#N/A,0.12,0.38,0.29,0.14,0.05,#N/A,0.82,0.18,,,,
sofi.deli,https://www.instagram.com/sofi.deli,No,1/10/2019,beautyfreak.room,117217,Foodie,Moms,,0.01,0.09,0.91,0.01,0.22,0.45,0.20,0.08,0.03,0.01,0.01,0.25,0.43,0.19,0.08,0.03,0.01,0.83,0.17,0,,,
soyceliaconoextraterrestre,https://www.instagram.com/soyceliaconoextraterrestre,No,7/12/2021,aletemporini,136000,Foodie,,,0.02,0.10,0.90,0.00,0.10,0.37,0.31,0.16,0.04,0.02,0.00,0.09,0.32,0.32,0.18,0.07,0.02,0.90,0.10,,,,
soyglutenfree,https://www.instagram.com/soyglutenfree,Si,14/5/20,,77600,Foodie,,,0.01,0.06,0.94,0.00,0.09,0.39,0.30,0.14,0.04,0.04,0.00,0.12,0.38,0.29,0.13,0.04,0.04,0.85,0.15,,,,
soylonza,https://www.instagram.com/soylonza,No,23/07/2020,francokalifon.pan,31700,Foodie,blogger,,0.02,0.66,0.34,0.00,0.18,0.52,0.22,0.06,0.01,0.01,0.00,0.18,0.52,0.22,0.06,0.01,0.01,0.90,0.10,0,,,
soyvelen,https://www.instagram.com/soyvelen,Parcial,4/8/2022,rango etario todos ,80600,Foodie,Healthy,,0.03,0.11,0.89,#N/A,0.34,0.43,0.13,0.04,#N/A,#N/A,0.03,0.34,0.43,0.13,0.04,#N/A,#N/A,0.70,0.30,,,,
sweetfran CH,https://www.instagram.com/sweetfran CH,No,28/11/2018,cabrococina CH,583000,Foodie,,,0.02,0.11,0.89,0.03,0.23,0.42,0.19,0.09,0.03,0.01,0.03,0.28,0.37,0.17,0.09,0.04,0.02,0.50,0.50,,,,
sweetshamilton CH,https://www.instagram.com/sweetshamilton CH,No,28/11/2018,cravingsjournal CH,38300,Foodie,,,0.06,0.09,0.91,0.03,0.23,0.42,0.19,0.09,0.03,0.01,0.03,0.28,0.37,0.17,0.09,0.04,0.02,0.90,0.10,,,,
takehiro_ohno,https://www.instagram.com/takehiro_ohno,No,1/16/2019,cookgrimaldi,42400,Foodie,,,0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.65,0.35,0,,,
teodeliinesias,https://www.instagram.com/teodeliinesias,No,19/7/2021,gimeaccardi,195539,Foodie,,,0.01,0.21,0.79,0.04,0.26,0.40,0.18,0.06,0.01,0.05,0.03,0.28,0.43,0.16,0.05,0.01,0.04,0.82,0.18,,,,
thehungry.girl,https://www.instagram.com/thehungry.girl,No,2/11/2020,pam.pellegrini,23300,Foodie,,,"1,75%",0.07,0.93,0.01,0.14,0.40,0.25,0.11,0.04,0.05,0.00,0.12,0.40,0.28,0.12,0.04,0.04,0.62,0.38,,,,
totiquesada,https://www.instagram.com/totiquesada,No,5/20/2022,chantalabad,18059,Foodie,,,0.04,0.14,0.86,0.02,0.20,0.42,0.25,0.08,0.02,0.01,0.01,0.25,0.43,0.21,0.07,0.02,0.01,0.94,0.06,,,,
tres.tenedores,https://www.instagram.com/tres.tenedores,Si,5/20/2019,,258000,Foodie,Healthy,,0.01,0.09,0.91,0.01,0.16,0.38,0.27,0.12,0.04,0.02,0.01,0.17,0.39,0.26,0.11,0.04,0.02,0.73,0.27,,,,
una_mama_sin_gluten,https://www.instagram.com/una_mama_sin_gluten,No,21/01/2020,patosingluten,44800,Foodie,,,0.02,0.23,0.77,0.00,0.11,0.33,0.30,0.17,0.06,0.03,0.00,0.09,0.32,0.33,0.18,0.06,0.02,0.58,0.42,,,,
